,,,,,,,,,,,,,,,,,,,,Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Applied),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),Ethnicity (Admitted),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Applied),GPA (Admitted),GPA (Admitted),GPA (Admitted),GPA (Admitted),GPA (Admitted),GPA (Admitted),Gender (Applied),Gender (Applied),Gender (Admitted),Gender (Admitted)
Berkeley,2009,African American,"2,318",0.39%,,Berkeley,2018,3.40 - 3.79,17.01%,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2008,White,"15,045",0.57%,,Berkeley,2019,3.40 - 3.79,15.92%,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2008,Other/Unknown,"3,267",35.69%,,Berkeley,1994,3.80 - 4.19,34.24%,"3,640",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2008,International,"3,317",32.76%,,Berkeley,1995,3.80 - 4.19,34.81%,"3,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2008,Hispanic/Latinx,"7,653",33.63%,,Berkeley,1996,3.80 - 4.19,35.41%,"3,929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2008,Asian/Pacific Islander,"16,702",35.04%,,Berkeley,1997,3.80 - 4.19,35.80%,"3,698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2008,American Indian,246,37.08%,,Berkeley,1998,3.80 - 4.19,37.50%,"3,682",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2008,African American,"2,243",38.58%,,Berkeley,1999,3.80 - 4.19,36.98%,"3,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2007,White,"14,040",37.75%,,Berkeley,2000,3.80 - 4.19,37.02%,"3,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2007,Other/Unknown,"2,805",38.24%,,Berkeley,2001,3.80 - 4.19,37.31%,"3,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2007,International,"2,606",39.01%,,Berkeley,2002,3.80 - 4.19,37.88%,"3,462",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2007,Hispanic/Latinx,"6,446",38.41%,,Berkeley,2003,3.80 - 4.19,38.07%,"3,541",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2007,Asian/Pacific Islander,"15,996",39.58%,,Berkeley,2004,3.80 - 4.19,38.76%,"3,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2007,American Indian,233,39.56%,,Berkeley,2005,3.80 - 4.19,38.76%,"3,683",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2007,African American,"2,023",41.05%,,Berkeley,2006,3.80 - 4.19,39.67%,"3,649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2006,White,"13,053",40.03%,,Berkeley,2007,3.80 - 4.19,40.06%,"3,705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2006,Other/Unknown,"2,862",37.44%,,Berkeley,2008,3.80 - 4.19,38.95%,"3,577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2006,International,"2,189",38.35%,,Berkeley,2009,3.80 - 4.19,40.57%,"3,813",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2006,Hispanic/Latinx,"5,918",37.01%,,Berkeley,2010,3.80 - 4.19,41.17%,"3,950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2006,Asian/Pacific Islander,"15,660",39.29%,,Berkeley,2011,3.80 - 4.19,41.36%,"4,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2006,American Indian,251,40.16%,,Berkeley,2012,3.80 - 4.19,40.75%,"3,755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2006,African American,"1,863",38.02%,,Berkeley,2013,3.80 - 4.19,39.38%,"3,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2005,White,"12,089",38.75%,,Berkeley,2014,3.80 - 4.19,39.81%,"3,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2005,Other/Unknown,"2,671",40.43%,,Berkeley,2015,3.80 - 4.19,39.72%,"3,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2005,International,"1,896",41.41%,,Berkeley,2016,3.80 - 4.19,40.41%,"4,538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2005,Hispanic/Latinx,"4,982",40.51%,,Berkeley,2017,3.80 - 4.19,40.28%,"4,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2005,Asian/Pacific Islander,"13,607",40.45%,,Berkeley,2018,3.80 - 4.19,40.95%,"3,779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2005,American Indian,191,41.89%,,Berkeley,2019,3.80 - 4.19,41.11%,"4,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2005,African American,"1,578",32.73%,,Berkeley,1994,4.20 and Above,17.90%,"2,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2004,White,"11,617",33.23%,,Berkeley,1995,4.20 and Above,17.40%,"2,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2004,Other/Unknown,"3,284",33.75%,,Berkeley,1996,4.20 and Above,17.55%,"3,067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2004,International,"1,524",33.00%,,Berkeley,1997,4.20 and Above,17.70%,"2,949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2004,Hispanic/Latinx,"4,853",32.89%,,Berkeley,1998,4.20 and Above,18.06%,"3,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2004,Asian/Pacific Islander,"13,813",35.14%,,Berkeley,1999,4.20 and Above,18.69%,"3,821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2004,American Indian,185,33.86%,,Berkeley,2000,4.20 and Above,18.77%,"4,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2004,African American,"1,558",33.16%,,Berkeley,2001,4.20 and Above,17.47%,"4,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2003,White,"11,651",33.29%,,Berkeley,2002,4.20 and Above,18.23%,"4,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2003,Other/Unknown,"3,568",32.24%,,Berkeley,2003,4.20 and Above,17.74%,"4,655",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2003,International,"1,746",34.88%,,Berkeley,2004,4.20 and Above,17.97%,"4,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2003,Hispanic/Latinx,"4,653",34.38%,,Berkeley,2005,4.20 and Above,19.72%,"5,437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2003,Asian/Pacific Islander,"13,462",32.05%,,Berkeley,2006,4.20 and Above,19.69%,"5,652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2003,American Indian,198,33.27%,,Berkeley,2007,4.20 and Above,20.17%,"5,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2003,African American,"1,723",31.60%,,Berkeley,2008,4.20 and Above,20.19%,"5,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2002,White,"11,835",31.52%,,Berkeley,2009,4.20 and Above,20.25%,"6,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2002,Other/Unknown,"3,165",30.45%,,Berkeley,2010,4.20 and Above,19.43%,"5,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2002,International,"1,635",28.81%,,Berkeley,2011,4.20 and Above,19.19%,"5,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2002,Hispanic/Latinx,"4,282",27.02%,,Berkeley,2012,4.20 and Above,19.05%,"6,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2002,Asian/Pacific Islander,"13,770",27.28%,,Berkeley,2013,4.20 and Above,21.06%,"6,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2002,American Indian,200,26.90%,,Berkeley,2014,4.20 and Above,22.17%,"7,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2002,African American,"1,558",26.24%,,Berkeley,2015,4.20 and Above,22.78%,"8,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2001,White,"11,515",27.38%,,Berkeley,2016,4.20 and Above,24.30%,"8,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2001,Other/Unknown,"3,467",27.13%,,Berkeley,2017,4.20 and Above,25.40%,"9,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2001,International,"2,039",23.43%,,Berkeley,2018,4.20 and Above,26.24%,"8,616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2001,Hispanic/Latinx,"3,990",22.57%,,Berkeley,2019,4.20 and Above,27.79%,"9,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2001,Asian/Pacific Islander,"13,551",1.91%,,Berkeley,1994,Unknown/ Missing,2.05%,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2001,American Indian,207,2.25%,,Berkeley,1995,Unknown/ Missing,1.77%,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2001,African American,"1,458",2.23%,,Berkeley,1996,Unknown/ Missing,1.83%,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2000,White,"10,989",2.36%,,Berkeley,1997,Unknown/ Missing,2.55%,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2000,Other/Unknown,"3,268",2.31%,,Berkeley,1998,Unknown/ Missing,1.73%,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2000,International,"1,695",2.58%,,Berkeley,1999,Unknown/ Missing,3.58%,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2000,Hispanic/Latinx,"3,439",2.55%,,Berkeley,2000,Unknown/ Missing,4.04%,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2000,Asian/Pacific Islander,"12,469",2.02%,,Berkeley,2001,Unknown/ Missing,4.99%,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2000,American Indian,173,2.10%,,Berkeley,2002,Unknown/ Missing,3.32%,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,2000,African American,"1,318",2.95%,,Berkeley,2003,Unknown/ Missing,3.02%,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1999,White,"10,813",2.14%,,Berkeley,2004,Unknown/ Missing,3.42%,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1999,Other/Unknown,"3,020",2.81%,,Berkeley,2005,Unknown/ Missing,3.22%,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1999,International,"1,503",2.86%,,Berkeley,2006,Unknown/ Missing,2.73%,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1999,Hispanic/Latinx,"2,823",3.14%,,Berkeley,2007,Unknown/ Missing,2.73%,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1999,Asian/Pacific Islander,"11,772",7.22%,,Berkeley,2008,Unknown/ Missing,2.98%,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1999,American Indian,159,7.22%,,Berkeley,2009,Unknown/ Missing,3.00%,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1999,African American,"1,143",10.69%,,Berkeley,2010,Unknown/ Missing,3.14%,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1998,White,"8,931",12.70%,,Berkeley,2011,Unknown/ Missing,4.18%,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1998,Other/Unknown,"4,638",11.36%,,Berkeley,2012,Unknown/ Missing,5.57%,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1998,International,"1,421",15.00%,,Berkeley,2013,Unknown/ Missing,7.29%,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1998,Hispanic/Latinx,"3,156",12.77%,,Berkeley,2014,Unknown/ Missing,7.90%,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1998,Asian/Pacific Islander,"10,557",10.59%,,Berkeley,2015,Unknown/ Missing,8.45%,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1998,American Indian,175,8.07%,,Berkeley,2016,Unknown/ Missing,7.94%,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1998,African American,"1,256",8.93%,,Berkeley,2017,Unknown/ Missing,7.89%,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1997,White,"9,430",10.93%,,Berkeley,2018,Unknown/ Missing,7.45%,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1997,Other/Unknown,"1,636",10.81%,,Berkeley,2019,Unknown/ Missing,7.64%,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1997,International,"1,420",5.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1997,Hispanic/Latinx,"2,878",6.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1997,Asian/Pacific Islander,"10,593",7.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1997,American Indian,138,7.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1997,African American,"1,176",16.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1996,White,"8,531",10.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1996,Other/Unknown,"1,909",11.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1996,International,955,10.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1996,Hispanic/Latinx,"2,831",9.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1996,Asian/Pacific Islander,"9,600",10.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1996,American Indian,172,9.61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1996,African American,"1,213",8.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1995,White,"7,771",8.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1995,Other/Unknown,"1,474",7.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1995,International,977,8.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1995,Hispanic/Latinx,"2,730",6.93%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1995,Asian/Pacific Islander,"8,560",6.72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1995,American Indian,197,3.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1995,African American,"1,199",3.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1994,White,"6,984",4.17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1994,Other/Unknown,"1,255",4.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1994,International,759,4.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1994,Hispanic/Latinx,"2,423",5.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1994,Asian/Pacific Islander,"8,336",4.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1994,American Indian,140,5.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley,1994,African American,"1,087",4.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,Other/Unknown,"1,959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,International,"16,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,White,"14,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,Asian/Pacific Islander,"24,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,American Indian,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,African American,"3,425",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,Hispanic/Latinx,"17,526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,Other/Unknown,"2,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,International,"15,507",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,White,"14,797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,Asian/Pacific Islander,"23,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,American Indian,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,African American,"3,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,Hispanic/Latinx,"17,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Other/Unknown,"1,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,International,"13,926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,White,"14,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Asian/Pacific Islander,"21,262",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,American Indian,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,African American,"3,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Hispanic/Latinx,"15,972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,Other/Unknown,"1,865",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,International,"13,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,White,"14,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,Asian/Pacific Islander,"20,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,American Indian,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,African American,"3,162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,Hispanic/Latinx,"14,876",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,Other/Unknown,"1,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,International,"11,240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,White,"14,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,Asian/Pacific Islander,"20,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,American Indian,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,African American,"2,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,Hispanic/Latinx,"13,675",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,Other/Unknown,"1,575",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,International,"9,413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,White,"14,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,Asian/Pacific Islander,"20,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,American Indian,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,African American,"2,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,Hispanic/Latinx,"12,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,Other/Unknown,"1,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,International,"6,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,White,"13,989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,Asian/Pacific Islander,"19,281",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,American Indian,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,African American,"2,449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,Hispanic/Latinx,"11,529",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,Other/Unknown,"1,317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,International,"4,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,White,"13,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,Asian/Pacific Islander,"18,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,American Indian,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,African American,"2,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,Hispanic/Latinx,"10,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,Other/Unknown,"1,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,International,"2,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,White,"14,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,Asian/Pacific Islander,"17,317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,American Indian,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,African American,"2,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,Hispanic/Latinx,"9,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,Other/Unknown,"2,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,International,"1,634",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,White,"13,533",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,Asian/Pacific Islander,"15,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,American Indian,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,African American,"1,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,Hispanic/Latinx,"7,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,Other/Unknown,"2,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,International,"1,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,White,"14,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,Asian/Pacific Islander,"15,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
